year,market_gap
1,195000000000
2,-209000000000
3,-104000000000
4,-166000000000
5,187000000000
6,-669000000000
7,-1030000000000
8,-1920000000000
9,-1960000000000
10,-2420000000000
11,390000000000
12,1960000000000
13,3820000000000
14,881000000000
15,-299000000000
16,-199000000000
17,-1200000000000
18,-537000000000
19,5480000000000
20,1480000000000
21,-292000000000
22,831000000000
23,-1450000000000
