,Credit Suisse Hedge Fund Index ,,,Credit Suisse Convertible Arbitrage Hedge Fund Index,,,Credit Suisse Dedicated Short Bias Hedge Fund Index,,,Credit Suisse Emerging Markets Hedge Fund Index,,,Credit Suisse Equity Market Neutral Hedge Fund Index,,,Credit Suisse Event Driven Hedge Fund Index,,,Credit Suisse Event Driven Distressed Hedge Fund Index,,,Credit Suisse Event Driven Multi-Strategy Hedge Fund Index,,,Credit Suisse Event Driven Risk Arbitrage Hedge Fund Index,,,Credit Suisse Fixed Income Arbitrage Hedge Fund Index,,,Credit Suisse Global Macro Hedge Fund Index,,,Credit Suisse Long/Short Equity Hedge Fund Index,,,Credit Suisse Managed Futures Hedge Fund Index,,,Credit Suisse Multi-Strategy Hedge Fund Index,,,
,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,
5/31/2013,USD,511.08,0.42%,USD,411.46,1.30%,USD,37.16,-1.51%,USD,417.71,-0.20%,USD,250.41,0.40%,USD,584.90,2.27%,USD,702.95,2.38%,USD,534.20,2.23%,USD,338.34,0.80%,USD,284.94,0.01%,USD,853.12,-0.05%,USD,566.83,1.19%,USD,282.49,-4.98%,USD,444.90,0.37%,
4/30/2013,USD,508.95,1.39%,USD,406.19,0.14%,USD,37.73,-3.45%,USD,418.55,1.62%,USD,249.42,1.01%,USD,571.89,1.20%,USD,686.64,1.34%,USD,522.53,1.13%,USD,335.67,0.65%,USD,284.91,0.34%,USD,853.56,1.77%,USD,560.16,1.26%,USD,297.30,3.50%,USD,443.26,1.09%,
3/31/2013,USD,501.99,1.21%,USD,405.62,0.72%,USD,39.08,-1.91%,USD,411.86,0.55%,USD,246.93,0.05%,USD,565.13,2.11%,USD,677.57,2.18%,USD,516.69,2.08%,USD,333.51,0.39%,USD,283.95,0.61%,USD,838.74,0.97%,USD,553.20,1.38%,USD,287.24,1.74%,USD,438.49,0.62%,
2/28/2013,USD,495.98,0.24%,USD,402.71,-0.07%,USD,39.84,-1.65%,USD,409.62,0.49%,USD,246.81,-1.28%,USD,553.46,0.46%,USD,663.09,1.04%,USD,506.15,0.19%,USD,332.20,-0.06%,USD,282.24,0.49%,USD,830.68,0.29%,USD,545.66,0.12%,USD,282.33,-0.77%,USD,435.78,0.38%,
1/31/2013,USD,494.80,2.07%,USD,402.98,2.01%,USD,40.51,-5.22%,USD,407.63,3.45%,USD,250.02,1.99%,USD,550.95,2.15%,USD,656.28,1.69%,USD,505.21,2.39%,USD,332.40,-0.03%,USD,280.87,1.06%,USD,828.24,0.88%,USD,545.01,3.54%,USD,284.52,2.67%,USD,434.11,2.07%,
12/31/2012,USD,484.78,1.48%,USD,395.05,1.38%,USD,42.74,-2.95%,USD,394.03,2.38%,USD,245.13,0.86%,USD,539.36,1.98%,USD,645.39,1.91%,USD,493.43,2.01%,USD,332.50,1.51%,USD,277.93,0.68%,USD,821.00,1.27%,USD,526.36,1.58%,USD,277.11,1.08%,USD,425.31,1.37%,
11/30/2012,USD,477.70,0.64%,USD,389.69,0.22%,USD,44.04,-0.43%,USD,384.88,1.10%,USD,243.04,0.39%,USD,528.91,0.30%,USD,633.32,0.26%,USD,483.71,0.31%,USD,327.55,1.05%,USD,276.05,0.48%,USD,810.70,0.72%,USD,518.16,0.73%,USD,274.15,0.58%,USD,419.56,1.00%,
10/31/2012,USD,474.65,-0.18%,USD,388.83,0.25%,USD,44.23,-0.07%,USD,380.70,0.35%,USD,242.09,-0.42%,USD,527.35,0.91%,USD,631.68,1.03%,USD,482.22,0.88%,USD,324.15,-0.77%,USD,274.74,0.87%,USD,804.90,-0.73%,USD,514.41,-0.21%,USD,272.56,-4.64%,USD,415.40,0.34%,
9/30/2012,USD,475.50,1.04%,USD,387.86,0.40%,USD,44.26,-3.78%,USD,379.37,2.21%,USD,243.12,0.56%,USD,522.57,1.67%,USD,625.27,1.78%,USD,478.03,1.62%,USD,326.65,0.41%,USD,272.37,1.26%,USD,810.82,0.60%,USD,515.48,1.57%,USD,285.82,-1.37%,USD,413.98,0.80%,
8/31/2012,USD,470.60,0.84%,USD,386.32,0.44%,USD,46.00,-4.25%,USD,371.16,0.84%,USD,241.77,1.25%,USD,514.01,1.18%,USD,614.35,0.88%,USD,470.40,1.32%,USD,325.31,0.52%,USD,268.99,1.02%,USD,805.99,0.38%,USD,507.51,1.51%,USD,289.80,-1.55%,USD,410.69,1.36%,
7/31/2012,USD,466.68,1.42%,USD,384.64,0.86%,USD,48.04,-0.44%,USD,368.05,0.96%,USD,238.79,-0.40%,USD,508.03,0.74%,USD,608.99,0.95%,USD,464.26,0.66%,USD,323.62,-0.51%,USD,266.27,1.62%,USD,802.96,2.14%,USD,499.94,0.55%,USD,294.37,4.68%,USD,405.18,1.28%,
6/30/2012,USD,460.14,-0.40%,USD,381.35,0.33%,USD,48.25,-2.72%,USD,364.54,-0.13%,USD,239.74,0.93%,USD,504.28,-0.18%,USD,603.27,-0.23%,USD,461.23,-0.16%,USD,325.29,0.53%,USD,262.02,0.76%,USD,786.12,-1.37%,USD,497.21,0.35%,USD,281.20,-3.56%,USD,400.05,0.48%,
5/31/2012,USD,461.99,-1.33%,USD,380.10,-0.84%,USD,49.60,9.03%,USD,365.03,-3.79%,USD,237.54,-3.18%,USD,505.19,-1.32%,USD,604.64,-1.24%,USD,461.99,-1.36%,USD,323.56,-1.53%,USD,260.05,0.24%,USD,797.05,0.19%,USD,495.50,-4.53%,USD,291.58,2.38%,USD,398.13,-1.17%,
4/30/2012,USD,468.22,-0.04%,USD,383.31,-0.23%,USD,45.49,-2.53%,USD,379.40,0.15%,USD,245.34,-0.41%,USD,511.97,-0.23%,USD,612.26,0.14%,USD,468.37,-0.41%,USD,328.58,-0.47%,USD,259.43,0.69%,USD,795.50,-0.25%,USD,518.99,-0.46%,USD,284.79,0.43%,USD,402.84,0.58%,
3/31/2012,USD,468.40,0.05%,USD,384.21,0.55%,USD,46.67,-1.35%,USD,378.82,-0.70%,USD,246.35,-0.15%,USD,513.13,0.79%,USD,611.41,1.48%,USD,470.28,0.45%,USD,330.12,0.18%,USD,257.65,0.74%,USD,797.48,-0.43%,USD,521.41,0.50%,USD,283.56,-2.96%,USD,400.51,0.45%,
2/29/2012,USD,468.17,1.61%,USD,382.09,1.88%,USD,47.31,-4.66%,USD,381.49,2.92%,USD,246.73,1.33%,USD,509.12,1.58%,USD,602.49,1.89%,USD,468.19,1.43%,USD,329.52,0.92%,USD,255.76,1.00%,USD,800.89,0.79%,USD,518.81,2.64%,USD,292.22,1.21%,USD,398.73,1.72%,
1/31/2012,USD,460.75,2.34%,USD,375.04,2.36%,USD,49.62,-7.58%,USD,370.67,3.74%,USD,243.48,0.17%,USD,501.19,2.80%,USD,591.33,2.40%,USD,461.58,3.03%,USD,326.50,0.97%,USD,253.22,1.17%,USD,794.64,1.22%,USD,505.45,3.91%,USD,288.74,1.15%,USD,391.97,2.47%,
12/31/2011,USD,450.23,-0.22%,USD,366.39,0.62%,USD,53.69,1.65%,USD,357.31,-0.70%,USD,243.06,-0.49%,USD,487.52,-0.81%,USD,577.45,-0.05%,USD,448.02,-1.25%,USD,323.37,-0.39%,USD,250.29,0.38%,USD,785.06,0.43%,USD,486.44,-0.88%,USD,285.47,0.79%,USD,382.51,0.14%,
11/30/2011,USD,451.21,-0.79%,USD,364.12,-0.60%,USD,52.82,-0.17%,USD,359.83,-2.69%,USD,244.26,0.09%,USD,491.48,-1.05%,USD,577.75,-1.20%,USD,453.68,-0.97%,USD,324.62,-0.27%,USD,249.34,0.50%,USD,781.70,-0.03%,USD,490.78,-1.48%,USD,283.23,0.18%,USD,381.98,-0.89%,
10/31/2011,USD,454.79,1.73%,USD,366.30,1.18%,USD,52.91,-9.59%,USD,369.76,3.70%,USD,244.03,2.76%,USD,496.70,2.56%,USD,584.77,1.99%,USD,458.13,2.90%,USD,325.50,1.91%,USD,248.11,0.14%,USD,781.92,0.18%,USD,498.15,4.45%,USD,282.73,-5.06%,USD,385.41,2.05%,
9/30/2011,USD,447.06,-3.20%,USD,362.04,-1.77%,USD,58.52,8.45%,USD,356.55,-7.47%,USD,237.48,-2.22%,USD,484.31,-5.06%,USD,573.38,-3.28%,USD,445.23,-6.15%,USD,319.39,-1.63%,USD,247.76,-0.19%,USD,780.51,-0.07%,USD,476.91,-5.22%,USD,297.81,-0.78%,USD,377.67,-2.37%,
8/31/2011,USD,461.84,-2.30%,USD,368.55,-1.73%,USD,53.96,6.56%,USD,385.33,-3.15%,USD,242.86,-0.89%,USD,510.13,-5.37%,USD,592.80,-4.41%,USD,474.40,-5.98%,USD,324.67,-0.92%,USD,248.22,-0.27%,USD,781.05,1.91%,USD,503.18,-4.44%,USD,300.16,0.25%,USD,386.84,-1.93%,
7/31/2011,USD,472.71,0.69%,USD,375.05,-0.14%,USD,50.64,3.01%,USD,397.87,1.67%,USD,245.05,-0.18%,USD,539.07,-0.78%,USD,620.13,-0.26%,USD,504.58,-1.07%,USD,327.69,-0.77%,USD,248.90,0.55%,USD,766.42,2.53%,USD,526.58,-0.41%,USD,299.42,4.03%,USD,394.47,0.61%,
6/30/2011,USD,469.48,-1.36%,USD,375.59,-0.86%,USD,49.16,1.57%,USD,391.34,-0.65%,USD,245.50,-0.29%,USD,543.29,-2.16%,USD,621.76,-0.70%,USD,510.05,-3.08%,USD,330.23,-0.04%,USD,247.53,0.06%,USD,747.53,-1.11%,USD,528.75,-1.49%,USD,287.82,-3.07%,USD,392.08,-0.64%,
5/31/2011,USD,475.96,-0.96%,USD,378.84,0.02%,USD,48.40,2.20%,USD,393.90,-1.10%,USD,246.21,-1.03%,USD,555.28,-0.61%,USD,626.17,0.01%,USD,526.26,-0.98%,USD,330.37,-1.05%,USD,247.39,0.21%,USD,755.94,-0.63%,USD,536.73,-1.68%,USD,296.95,-4.44%,USD,394.62,-0.05%,
4/30/2011,USD,480.56,1.80%,USD,378.76,0.06%,USD,47.36,-2.67%,USD,398.30,2.32%,USD,248.77,3.37%,USD,558.67,1.14%,USD,626.12,1.14%,USD,531.46,1.13%,USD,333.88,1.74%,USD,246.86,0.92%,USD,760.70,2.46%,USD,545.89,1.70%,USD,310.75,5.40%,USD,394.80,0.85%,
3/31/2011,USD,472.05,0.12%,USD,378.54,-0.61%,USD,48.66,-1.78%,USD,389.26,2.12%,USD,240.66,1.11%,USD,552.38,-0.26%,USD,619.08,-0.10%,USD,525.51,-0.37%,USD,328.18,0.59%,USD,244.60,-0.31%,USD,742.41,0.15%,USD,536.76,0.28%,USD,294.82,-2.76%,USD,391.46,0.79%,
2/28/2011,USD,471.47,1.38%,USD,380.85,2.90%,USD,49.54,-3.37%,USD,381.17,-0.07%,USD,238.02,0.52%,USD,553.81,1.44%,USD,619.71,0.86%,USD,527.45,1.88%,USD,326.24,0.79%,USD,245.36,0.93%,USD,741.28,1.28%,USD,535.24,1.72%,USD,303.20,2.60%,USD,388.38,1.39%,
1/31/2011,USD,465.04,0.69%,USD,370.13,2.16%,USD,51.27,-0.83%,USD,381.42,-0.39%,USD,236.79,1.79%,USD,545.93,1.80%,USD,614.44,1.90%,USD,517.74,1.74%,USD,323.67,0.89%,USD,243.09,1.68%,USD,731.91,-0.77%,USD,526.19,0.27%,USD,295.53,-0.82%,USD,383.06,1.98%,
12/31/2010,USD,461.86,2.90%,USD,362.31,1.16%,USD,51.70,-5.86%,USD,382.90,1.50%,USD,232.62,1.74%,USD,536.26,3.93%,USD,603.01,2.73%,USD,508.88,4.78%,USD,320.80,1.14%,USD,239.08,0.61%,USD,737.58,2.67%,USD,524.79,3.42%,USD,297.96,5.42%,USD,375.62,1.70%,
11/30/2010,USD,448.83,-0.18%,USD,358.17,0.04%,USD,54.92,-2.36%,USD,377.23,-0.38%,USD,228.64,-2.51%,USD,516.00,0.15%,USD,586.99,0.33%,USD,485.66,0.04%,USD,317.18,-1.44%,USD,237.62,0.74%,USD,718.41,-0.52%,USD,507.43,0.46%,USD,282.63,-4.11%,USD,369.35,0.30%,
10/31/2010,USD,449.66,1.92%,USD,358.04,1.98%,USD,56.25,-3.60%,USD,378.65,2.21%,USD,234.53,0.93%,USD,515.25,1.80%,USD,585.07,1.32%,USD,485.48,2.17%,USD,321.81,-0.62%,USD,235.87,1.10%,USD,722.14,1.62%,USD,505.12,2.00%,USD,294.74,4.29%,USD,368.24,2.03%,
9/30/2010,USD,441.18,3.43%,USD,351.09,1.11%,USD,58.35,-11.28%,USD,370.46,4.77%,USD,232.36,3.66%,USD,506.16,3.20%,USD,577.45,2.07%,USD,475.17,4.03%,USD,323.82,2.31%,USD,233.30,1.55%,USD,710.64,2.72%,USD,495.20,5.09%,USD,282.62,2.77%,USD,360.93,2.79%,
8/31/2010,USD,426.54,0.23%,USD,347.25,1.35%,USD,65.77,5.15%,USD,353.58,0.12%,USD,224.16,-1.55%,USD,490.46,-0.40%,USD,565.72,-0.64%,USD,456.76,-0.24%,USD,316.50,0.31%,USD,229.74,1.24%,USD,691.80,1.48%,USD,471.20,-1.12%,USD,275.00,4.87%,USD,351.14,0.01%,
7/31/2010,USD,425.54,1.59%,USD,342.62,2.22%,USD,62.55,-3.52%,USD,353.15,3.52%,USD,227.68,1.67%,USD,492.44,1.56%,USD,569.38,1.10%,USD,457.84,1.90%,USD,315.51,1.61%,USD,226.92,1.20%,USD,681.70,0.65%,USD,476.53,2.53%,USD,262.23,-1.50%,USD,351.10,1.66%,
6/30/2010,USD,418.89,-0.84%,USD,335.19,0.01%,USD,64.83,5.45%,USD,341.14,-0.03%,USD,223.93,-0.99%,USD,484.87,-1.58%,USD,563.19,-1.10%,USD,449.30,-1.97%,USD,310.52,0.10%,USD,224.22,0.92%,USD,677.29,0.56%,USD,464.78,-2.07%,USD,266.21,0.42%,USD,345.35,-0.81%,
5/31/2010,USD,422.45,-2.76%,USD,335.15,-2.51%,USD,61.48,5.84%,USD,341.24,-4.28%,USD,226.18,-3.30%,USD,492.63,-3.07%,USD,569.45,-2.50%,USD,458.31,-3.53%,USD,310.20,-1.52%,USD,222.17,-0.79%,USD,673.49,-0.63%,USD,474.61,-4.13%,USD,265.09,-4.03%,USD,348.18,-2.19%,
4/30/2010,USD,434.46,1.24%,USD,343.79,1.69%,USD,58.09,-3.89%,USD,356.51,1.01%,USD,233.91,0.43%,USD,508.24,1.89%,USD,584.08,1.69%,USD,475.10,2.09%,USD,314.99,-0.10%,USD,223.94,1.75%,USD,677.74,1.65%,USD,495.05,0.29%,USD,276.21,1.89%,USD,355.97,0.96%,
3/31/2010,USD,429.14,2.22%,USD,338.08,2.06%,USD,60.44,-6.61%,USD,352.95,3.89%,USD,232.91,0.54%,USD,498.81,2.85%,USD,574.39,2.64%,USD,465.39,3.07%,USD,315.29,0.69%,USD,220.08,1.44%,USD,666.71,0.38%,USD,493.63,2.99%,USD,271.08,4.25%,USD,352.60,1.44%,
2/28/2010,USD,419.82,0.68%,USD,331.27,0.47%,USD,64.72,-3.20%,USD,339.75,-0.45%,USD,231.66,-1.35%,USD,484.99,0.44%,USD,559.60,0.29%,USD,451.54,0.57%,USD,313.14,0.30%,USD,216.95,0.07%,USD,664.17,1.10%,USD,479.28,1.32%,USD,260.03,1.81%,USD,347.59,0.56%,
1/31/2010,USD,416.98,0.17%,USD,329.73,0.97%,USD,66.86,0.27%,USD,341.28,-0.76%,USD,234.84,0.10%,USD,482.88,1.42%,USD,557.97,2.02%,USD,449.00,0.90%,USD,312.19,0.40%,USD,216.79,2.02%,USD,656.95,1.07%,USD,473.03,-1.50%,USD,255.41,-3.81%,USD,345.64,0.56%,
12/31/2009,USD,416.28,0.88%,USD,326.55,2.22%,USD,66.68,-4.26%,USD,343.91,1.97%,USD,234.61,-0.87%,USD,476.13,2.28%,USD,546.91,2.51%,USD,445.00,2.13%,USD,310.94,0.38%,USD,212.50,0.76%,USD,650.00,-1.43%,USD,480.23,1.69%,USD,265.52,-5.00%,USD,343.70,1.18%,
11/30/2009,USD,412.64,2.11%,USD,319.45,0.80%,USD,69.65,-2.99%,USD,337.25,1.37%,USD,236.68,0.08%,USD,465.51,2.16%,USD,533.54,2.08%,USD,435.72,2.26%,USD,309.76,1.03%,USD,210.90,1.71%,USD,659.42,3.52%,USD,472.24,1.92%,USD,279.50,4.94%,USD,339.70,0.96%,
10/31/2009,USD,404.13,0.13%,USD,316.90,2.16%,USD,71.80,4.79%,USD,332.70,0.90%,USD,236.50,-0.35%,USD,455.65,0.43%,USD,522.69,0.71%,USD,426.10,0.21%,USD,306.59,0.16%,USD,207.35,1.94%,USD,636.99,0.21%,USD,463.35,-1.21%,USD,266.33,-2.17%,USD,336.48,1.12%,
9/30/2009,USD,403.62,3.04%,USD,310.19,3.23%,USD,68.52,-5.27%,USD,329.73,4.94%,USD,237.33,0.96%,USD,453.69,2.89%,USD,519.01,3.38%,USD,425.21,2.52%,USD,306.11,1.60%,USD,203.40,2.77%,USD,635.64,2.77%,USD,469.03,3.23%,USD,272.24,2.97%,USD,332.76,2.86%,
8/31/2009,USD,391.71,1.53%,USD,300.47,3.39%,USD,72.33,-1.69%,USD,314.20,1.06%,USD,235.07,1.31%,USD,440.93,2.17%,USD,502.03,2.12%,USD,414.76,2.23%,USD,301.30,0.95%,USD,197.92,2.38%,USD,618.52,0.86%,USD,454.36,1.42%,USD,264.38,0.92%,USD,323.51,1.43%,
7/31/2009,USD,385.82,2.54%,USD,290.63,5.80%,USD,73.57,-7.26%,USD,310.89,3.83%,USD,232.02,1.79%,USD,431.56,2.33%,USD,491.62,2.25%,USD,405.70,2.41%,USD,298.46,1.12%,USD,193.31,3.65%,USD,613.24,1.78%,USD,448.02,2.99%,USD,261.96,-0.43%,USD,318.96,2.99%,
6/30/2009,USD,376.27,0.43%,USD,274.69,4.05%,USD,79.33,-1.96%,USD,299.42,0.69%,USD,227.95,-0.21%,USD,421.74,1.02%,USD,480.82,1.44%,USD,396.14,0.71%,USD,295.16,0.89%,USD,186.51,1.83%,USD,602.52,-0.85%,USD,435.00,-0.04%,USD,263.08,-2.32%,USD,309.69,1.62%,
5/31/2009,USD,374.66,4.06%,USD,264.00,5.81%,USD,80.92,-0.55%,USD,297.37,6.96%,USD,228.42,3.63%,USD,417.50,4.22%,USD,473.99,4.15%,USD,393.34,4.31%,USD,292.57,1.85%,USD,183.16,4.33%,USD,607.68,1.47%,USD,435.16,5.23%,USD,269.33,0.85%,USD,304.75,4.28%,
4/30/2009,USD,360.04,1.68%,USD,249.51,4.52%,USD,81.37,-9.57%,USD,278.03,5.17%,USD,220.42,1.29%,USD,400.60,1.48%,USD,455.09,1.80%,USD,377.09,1.27%,USD,287.26,0.72%,USD,175.55,1.93%,USD,598.86,0.19%,USD,413.52,2.54%,USD,267.05,-3.24%,USD,292.25,2.24%,
3/31/2009,USD,354.08,0.65%,USD,238.73,1.14%,USD,89.98,-5.47%,USD,264.36,2.24%,USD,217.61,1.10%,USD,394.76,0.16%,USD,447.05,0.12%,USD,372.35,0.16%,USD,285.22,1.65%,USD,172.23,1.74%,USD,597.70,0.03%,USD,403.27,1.86%,USD,276.00,-2.18%,USD,285.84,0.38%,
2/28/2009,USD,351.78,-0.88%,USD,236.04,0.75%,USD,95.19,3.22%,USD,258.57,-2.10%,USD,215.25,-5.61%,USD,394.12,-1.13%,USD,446.52,-1.20%,USD,371.75,-1.12%,USD,280.60,0.69%,USD,169.28,1.01%,USD,597.54,0.21%,USD,395.92,-1.34%,USD,282.15,-0.16%,USD,284.77,-0.09%,
1/31/2009,USD,354.92,1.09%,USD,234.29,5.72%,USD,92.22,3.69%,USD,264.12,-0.14%,USD,228.05,1.14%,USD,398.64,0.79%,USD,451.93,-0.06%,USD,375.97,1.33%,USD,278.68,0.38%,USD,167.59,0.48%,USD,596.27,2.33%,USD,401.28,-0.17%,USD,282.61,-0.56%,USD,285.03,3.35%,
12/31/2008,USD,351.08,-0.03%,USD,221.62,-0.98%,USD,88.94,-1.68%,USD,264.49,0.22%,USD,225.47,0.41%,USD,395.52,-1.26%,USD,452.18,-2.54%,USD,371.03,-0.49%,USD,277.63,1.60%,USD,166.79,-0.80%,USD,582.69,1.11%,USD,401.98,1.06%,USD,284.19,2.37%,USD,275.79,-1.52%,
11/30/2008,USD,351.20,-4.15%,USD,223.82,-1.88%,USD,90.46,3.04%,USD,263.92,-1.87%,USD,224.54,-40.45%,USD,400.56,-3.21%,USD,463.96,-5.00%,USD,372.86,-2.17%,USD,273.26,-0.02%,USD,168.13,-5.60%,USD,576.30,1.54%,USD,397.78,-1.41%,USD,277.61,3.22%,USD,280.04,-4.63%,
10/31/2008,USD,366.39,-6.30%,USD,228.10,-12.59%,USD,87.79,9.66%,USD,268.95,-13.63%,USD,377.08,-1.83%,USD,413.85,-5.09%,USD,488.38,-5.66%,USD,381.13,-4.77%,USD,273.31,-3.06%,USD,178.11,-14.04%,USD,567.56,-5.13%,USD,403.48,-7.13%,USD,268.96,4.96%,USD,293.63,-6.94%,
9/30/2008,USD,391.02,-6.55%,USD,260.96,-12.26%,USD,80.06,-6.08%,USD,311.39,-8.93%,USD,384.09,-1.41%,USD,436.03,-5.75%,USD,517.69,-5.18%,USD,400.20,-6.17%,USD,281.93,-3.49%,USD,207.19,-6.80%,USD,598.28,-6.63%,USD,434.47,-7.81%,USD,256.24,-0.57%,USD,315.52,-7.35%,
8/31/2008,USD,418.43,-1.47%,USD,297.41,-0.66%,USD,85.24,-4.50%,USD,341.94,-4.00%,USD,389.57,-0.59%,USD,462.64,-0.16%,USD,545.97,-0.07%,USD,426.53,-0.20%,USD,292.13,-1.16%,USD,222.30,-0.70%,USD,640.79,-1.37%,USD,471.30,-2.11%,USD,257.70,-2.48%,USD,340.54,-1.26%,
7/31/2008,USD,424.68,-2.61%,USD,299.40,-2.14%,USD,89.26,2.98%,USD,356.17,-2.84%,USD,391.87,-0.06%,USD,463.36,-2.53%,USD,546.34,-2.59%,USD,427.38,-2.53%,USD,295.57,-0.39%,USD,223.86,-0.37%,USD,649.67,-2.64%,USD,481.48,-3.43%,USD,264.25,-4.20%,USD,344.89,-2.47%,
6/30/2008,USD,436.05,0.00%,USD,305.96,-0.36%,USD,86.68,9.02%,USD,366.58,-1.59%,USD,392.10,0.55%,USD,475.40,-0.15%,USD,560.88,-0.51%,USD,438.47,0.09%,USD,296.74,-0.12%,USD,224.70,-0.47%,USD,667.27,2.00%,USD,498.59,-1.33%,USD,275.84,4.79%,USD,353.61,0.05%,
5/31/2008,USD,436.07,2.00%,USD,307.08,1.50%,USD,79.51,0.86%,USD,372.50,2.14%,USD,389.96,1.10%,USD,476.12,1.89%,USD,563.74,1.50%,USD,438.08,2.20%,USD,297.11,-0.18%,USD,225.76,1.26%,USD,654.18,1.80%,USD,505.31,2.91%,USD,263.22,1.44%,USD,353.43,1.20%,
4/30/2008,USD,427.53,0.57%,USD,302.53,1.11%,USD,78.83,-7.30%,USD,364.71,0.17%,USD,385.71,0.31%,USD,467.28,0.51%,USD,555.41,0.24%,USD,428.67,0.68%,USD,297.64,0.88%,USD,222.95,2.07%,USD,642.60,-1.59%,USD,491.00,2.20%,USD,259.49,-2.15%,USD,349.23,0.66%,
3/31/2008,USD,425.10,-2.11%,USD,299.22,-5.93%,USD,85.04,4.86%,USD,364.09,-3.30%,USD,384.50,0.01%,USD,464.91,-1.72%,USD,554.07,-1.04%,USD,425.78,-2.21%,USD,295.04,1.62%,USD,218.43,-6.43%,USD,652.97,-1.70%,USD,480.43,-2.06%,USD,265.19,-0.53%,USD,346.94,-1.89%,
2/29/2008,USD,434.26,1.61%,USD,318.09,-1.29%,USD,81.10,-0.89%,USD,376.50,1.78%,USD,384.46,1.07%,USD,473.03,0.85%,USD,559.91,0.17%,USD,435.41,1.26%,USD,290.35,1.26%,USD,233.43,-0.66%,USD,664.25,4.11%,USD,490.55,2.06%,USD,266.61,6.61%,USD,353.64,-0.27%,
1/31/2008,USD,427.40,-1.48%,USD,322.26,-0.53%,USD,81.83,5.68%,USD,369.91,-2.67%,USD,380.40,0.69%,USD,469.06,-2.44%,USD,558.96,-1.70%,USD,429.98,-2.94%,USD,286.73,-0.10%,USD,234.97,0.28%,USD,638.05,4.44%,USD,480.67,-4.05%,USD,250.08,4.13%,USD,354.58,-1.81%,
12/31/2007,USD,433.82,0.47%,USD,323.98,-0.40%,USD,77.43,0.06%,USD,380.07,1.32%,USD,377.78,0.48%,USD,480.80,0.32%,USD,568.63,0.06%,USD,443.01,0.50%,USD,287.01,-0.63%,USD,234.31,0.21%,USD,610.92,1.50%,USD,500.98,0.42%,USD,240.16,0.32%,USD,361.10,-0.31%,
11/30/2007,USD,431.81,-1.21%,USD,325.28,-1.48%,USD,77.38,10.31%,USD,375.13,-1.85%,USD,375.97,0.56%,USD,479.29,-1.68%,USD,568.28,-1.30%,USD,440.80,-1.94%,USD,288.83,-0.80%,USD,233.82,-0.25%,USD,601.87,-0.17%,USD,498.88,-1.71%,USD,239.39,-0.95%,USD,362.21,-1.14%,
10/31/2007,USD,437.08,3.16%,USD,330.17,2.18%,USD,70.15,-2.49%,USD,382.21,5.48%,USD,373.87,1.50%,USD,487.47,2.91%,USD,575.78,1.41%,USD,449.51,3.84%,USD,291.15,2.13%,USD,234.41,1.15%,USD,602.89,2.72%,USD,507.57,3.73%,USD,241.69,4.06%,USD,366.37,3.02%,
9/30/2007,USD,423.68,2.71%,USD,323.14,1.97%,USD,71.94,-4.94%,USD,362.34,4.77%,USD,368.34,1.30%,USD,473.70,1.60%,USD,567.75,1.14%,USD,432.89,1.82%,USD,285.08,3.22%,USD,231.74,1.85%,USD,586.95,4.10%,USD,489.30,3.31%,USD,232.27,5.13%,USD,355.63,1.77%,
8/31/2007,USD,412.52,-1.53%,USD,316.91,-1.08%,USD,75.68,-1.14%,USD,345.83,-2.37%,USD,363.60,-0.39%,USD,466.24,-1.88%,USD,561.35,-1.73%,USD,425.17,-2.03%,USD,276.20,-0.65%,USD,227.53,-0.87%,USD,563.82,-0.62%,USD,473.62,-1.38%,USD,220.93,-4.61%,USD,349.43,-1.40%,
7/31/2007,USD,418.93,0.00%,USD,320.38,-1.11%,USD,76.55,7.14%,USD,354.22,2.55%,USD,365.03,0.40%,USD,475.16,0.97%,USD,571.24,-0.24%,USD,433.99,1.80%,USD,278.01,0.43%,USD,229.52,-1.96%,USD,567.32,0.96%,USD,480.24,-0.69%,USD,231.60,-4.79%,USD,354.38,-0.26%,
6/30/2007,USD,418.95,0.78%,USD,323.99,0.28%,USD,71.45,1.20%,USD,345.40,1.83%,USD,363.56,0.56%,USD,470.61,0.73%,USD,572.64,0.95%,USD,426.31,0.61%,USD,276.83,0.00%,USD,234.12,0.21%,USD,561.93,1.22%,USD,483.56,0.42%,USD,243.25,3.03%,USD,355.29,0.37%,
5/31/2007,USD,415.71,2.31%,USD,323.10,1.19%,USD,70.60,-2.20%,USD,339.19,1.72%,USD,361.53,0.75%,USD,467.21,3.24%,USD,567.24,2.08%,USD,423.72,4.31%,USD,276.84,0.04%,USD,233.62,0.24%,USD,555.18,1.79%,USD,481.56,2.31%,USD,236.10,5.13%,USD,353.99,2.29%,
4/30/2007,USD,406.33,2.02%,USD,319.29,0.56%,USD,72.19,-2.74%,USD,333.44,2.24%,USD,358.84,1.01%,USD,452.55,1.52%,USD,555.68,1.57%,USD,406.22,1.44%,USD,276.73,2.15%,USD,233.05,1.00%,USD,545.43,1.71%,USD,470.69,2.90%,USD,224.57,4.02%,USD,346.06,1.69%,
