Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Bulgaria,BGR,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61000000,7000000,2000000,992000000,706269000,617260000,504790000,733310000,1755120000,2803960000,5085590000,10324980000,21792990000,8857549047,7103248310,7275908438,8253157432,6666184921,
Bahrain,BHR,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6770000000,7155396400,6624350000,6599520000,6854570000,9701780000,13513180000,17364300000,21122390000,28133540000,21176551724,16933187987,20429312833,17152201592,16064898555,
"Bahamas, The",BHS,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,BLZ,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,BMU,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1411000000,1500000000,1300000000,2145900000,2469000000,2175000000,2901000000,1852000000,2124780000,2704330402,2731110000,1912330000,1360190000,1534950000,1435708145,1486900000,
Bolivia,BOL,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24000000,97000000,114000000,328000000,570000000,689666700,1741875000,1555000000,1468667000,1282015126,1988085783,2200000000,2222926829,2263000000,2672430000,2792440000,3388000000,4125080000,4445020000,
Brazil,BRA,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32099999744,44400001024,16400000000,42800001024,45299998720,99399999488,1.89E+11,1.47636E+11,2.1699E+11,2.55478E+11,1.60887E+11,2.27962E+11,2.26152E+11,1.86238E+11,1.23807E+11,2.3456E+11,3.30347E+11,4.74647E+11,7.111E+11,1.37038E+12,5.89384E+11,1.16733E+12,1.54557E+12,1.22897E+12,1.22985E+12,
Barbados,BRB,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282000000,308000000,259000000,328000000,518000000,494000000,770000000,1141000000,2412000000,2007665000,1689519550,1828000000,3441260000,3492779412,5229773869,5512884422,4954359468,5599280000,4963515438,4389578338,4365595687,4571308035,4494777567,
Brunei Darussalam,BRN,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33000000,36000000,39000000,,,,,,,,,,,,,,,
Botswana,BWA,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261000000,295000000,261000000,377000000,398000000,326000000,614000000,724000000,1052202200,977610000,1268670000,1722840000,2130710000,2548270000,2436730000,3946980000,5887210000,3555774353,4278000000,4075950000,4106891988,4587518585,
Sub-Saharan Africa (IFC classification),CAA,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.42E+11,2.91E+11,2.42E+11,2.67E+11,2.43E+11,3.26524E+11,3.15009E+11,3.66344E+11,4.86268E+11,5.67635E+11,5.43394E+11,8.00914E+11,8.41385E+11,7.00751E+11,5.75316E+11,8.9395E+11,1.17752E+12,1.48089E+12,1.70071E+12,2.18655E+12,1.00222E+12,1.68096E+12,2.16023E+12,1.90659E+12,2.01612E+12,
East Asia and the Pacific (IFC classification),CEA,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Europe and the Baltics,CEB,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12850999744,25082000000,38675000000,51353500000,57122000000,68413171100,66492570000,59437860000,78139490000,1.03376E+11,1.84632E+11,2.29882E+11,3.51322E+11,5.16306E+11,2.37268E+11,3.04711E+11,3.48322E+11,2.64442E+11,2.98621E+11,
Europe and Central Asia (IFC classification),CEU,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
